"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"BarrelJack_Horizontal";1;"Barrel_Jack";;;
2;"R2,R1";"R_0805_2012Metric";2;"R";;;
3;"C2,C1";"C_0805_2012Metric";2;"10ÂµF";;;
4;"U3";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
5;"SW1";"SW_PUSH_6mm";1;"SW_Push";;;
6;"J2";"PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right";1;"Conn_01x04";;;
7;"D1";"LED_D5.0mm";1;"LED";;;
8;"U1";"ESP32-C3-DevKitM-1";1;"ESP32-C3-DevKitM-1";;;
9;"U2";"ASAIR_AM2302_P2.54mm_Vertical";1;"AM2302";;;
10;"F1";"Fuse_1812_4532Metric";1;"Fuse";;;
11;"M1";"PhoenixContact_SPT_5_3-H-7.5-ZB_1x03_P7.5mm_Horizontal";1;"Motor_Servo";;;
